"A","BUSINESS / MANAGEMENT / OFFICE STUDIES"
"AA.","BUSINESS / FINANCE"
"AA.1","business world"
"AA.12","international trade (overview)"
"AA.3","business studies"
"AA.31","MBA"
"AA.4","business and finance"
"AB.","MANAGEMENT (GENERAL)"
"AB.1","management studies / science"
"AB.2","administrative management"
"AB.21","chartered secretaries"
"AB.22","management services"
"AB.3","company directorship"
"AB.4","business consultancy practice"
"AB.5","business counselling"
"AB.6","entrepreneurship"
"AB.7","industrial management"
"AB.8","non profit organisations: management"
"AB.84","charities: management"
"AB.85","church / religious bodies: management"
"AB.88","voluntary organisations: management"
"AC.","PUBLIC ADMINISTRATION"
"AD.","INTERNATIONAL BUSINESS STUDIES"
"AD.2","Europe: business studies"
"AD.3","Europe: business studies: specific countries"
"AD.4","Middle East: business studies"
"AD.5","Africa: business studies"
"AD.6","Americas: business studies"
"AD.7","Asia: business studies"
"AD.8","Australasia / Austronesia: business studies"
"AD.9","international business briefings"
"AE.","ENTERPRISES"
"AE.2","cooperatives"
"AE.3","self employment"
"AE.31","freelance working"
"AE.4","business start-up"
"AE.41","business plans: new businesses"
"AE.42","business proposals preparation"
"AE.5","small business management"
"AE.52","small business operations"
"AE.53","small business personnel"
"AE.54","small business finance"
"AE.55","small business marketing"
"AE.6","joint ventures"
"AE.7","business mergers / acquisitions"
"AE.71","business transfer"
"AE.8","business development"
"AF.","MANAGEMENT SKILLS (SPECIFIC)"
"AF.1","management ethics"
"AF.2","personal development (business)"
"AF.21","self management (business)"
"AF.23","self appraisal (business)"
"AF.24","self motivation (business)"
"AF.25","stress management (business)"
"AF.26","time management (business)"
"AF.3","business communication skills"
"AF.32","letter writing (business)"
"AF.34","presentation skills (business)"
"AF.341","oral presentation skills (business)"
"AF.342","visual presentation skills (business)"
"AF.35","report writing (business)"
"AF.351","technical report writing (business)"
"AF.36","telephone techniques (business)"
"AF.4","business interpersonal skills"
"AF.41","assertiveness (business)"
"AF.42","conflict management (business)"
"AF.43","interviewing (business)"
"AF.44","negotiating skills (business)"
"AF.45","racism awareness (business)"
"AF.46","sexism awareness (business)"
"AF.47","counselling (business)"
"AF.48","teamworking"
"AF.49","disability awareness (business)"
"AF.5","team building skills"
"AF.51","delegating"
"AF.52","motivating"
"AF.53","leadership"
"AF.54","influencing skills"
"AF.55","team briefing"
"AF.6","meetings / conferences / events"
"AF.61","committee work"
"AF.62","conference programme organisation"
"AF.63","meetings organisation"
"AF.64","minute taking"
"AF.65","events management"
"AF.7","decision making skills"
"AF.71","brainstorming / creative thinking (business)"
"AF.72","prioritising"
"AF.73","problem solving"
"AF.8","supervisory skills"
"AG.","MANAGEMENT PLANNING and CONTROL SYSTEMS"
"AG.1","management planning"
"AG.11","policy / strategic planning"
"AG.12","management by objectives"
"AG.13","management of change and innovation"
"AG.14","management audit"
"AG.2","business modelling / analysis"
"AG.21","critical path analysis"
"AG.22","decision systems / theory"
"AG.23","network analysis"
"AG.24","quantitative business analysis"
"AG.26","risk analysis"
"AG.27","value analysis"
"AG.3","business forecasting"
"AG.4","business mathematics / statistics"
"AG.41","business mathematics"
"AG.42","business statistics"
"AG.6","project management (business / industry)"
"AG.61","project management methodologies"
"AG.611","Dynamic Systems Development Methodology (DSDM)"
"AG.612","PRINCE2"
"AG.613","Structured Systems Analysis and Design Method (SSADM)"
"AG.7","business control systems"
"AG.71","management control techniques"
"AG.8","risk management"
"AG.82","disaster mitigation"
"AG.83","emergency planning (business)"
"AJ.","HUMAN RESOURCES MANAGEMENT"
"AJ.2","personnel administration"
"AJ.22","conditions of employment"
"AJ.221","equal opportunities"
"AJ.222","contracts of employment"
"AJ.23","disciplinary procedures"
"AJ.24","employment termination procedures"
"AJ.241","dismissal procedures"
"AJ.242","outplacement procedures"
"AJ.243","redundancy procedures"
"AJ.25","payroll (personnel administration)"
"AJ.26","staff welfare services"
"AJ.3","industrial relations"
"AJ.31","trade union representatives"
"AJ.4","recruitment / selection"
"AJ.41","job analysis description and advertising"
"AJ.42","job applicant assessment"
"AJ.43","selection interviewing"
"AJ.5","staff performance / development"
"AJ.51","job evaluation"
"AJ.52","performance appraisal"
"AJ.53","training administration (inhouse)"
"AJ.54","work enrichment"
"AJ.55","absenteeism"
"AJ.7","work study"
"AJ.71","organisation and methods"
"AJ.72","time and motion study"
"AJ.8","remote work"
"AK.","FINANCIAL MANAGEMENT / ACCOUNTING"
"AK.1","finance / accounting (general)"
"AK.11","finance / accounting for non-financial managers"
"AK.12","insolvency / bankruptcy procedures"
"AK.2","financial management"
"AK.23","financial planning"
"AK.231","cash flow planning"
"AK.232","financial decision making"
"AK.24","resource management"
"AK.25","financial analysis"
"AK.251","financial modelling"
"AK.3","financial control"
"AK.32","budgetary control"
"AK.33","cost management"
"AK.4","credit management"
"AK.42","debt collection"
"AK.43","credit control"
"AK.5","finance raising"
"AK.51","asset financing"
"AK.52","bank loans"
"AK.53","leasing (business)"
"AK.54","mortgaging (business)"
"AK.55","venture capital"
"AK.6","accounting"
"AK.62","auditing"
"AK.621","auditing (external)"
"AK.623","internal auditing"
"AK.63","tax accounting"
"AK.631","VAT accounting"
"AK.632","income tax accounting"
"AK.633","corporation tax accounting"
"AK.634","property tax accounting"
"AK.635","inheritance tax accounting"
"AK.64","cost / management accounting"
"AK.641","cost accounting"
"AK.642","management accounting"
"AK.7","public finance"
"AK.71","taxation (national) administration"
"AK.72","taxation (local) administration"
"AK.8","bookkeeping"
"AK.82","purchase ledger"
"AK.83","sales ledger"
"AK.85","payroll (accounting)"
"AK.9","cashiers' work"
"AK.91","cash handling / collection"
"AL.","FINANCIAL SERVICES"
"AL.2","banking"
"AL.22","merchant banking"
"AL.23","international banking"
"AL.24","building societies"
"AL.25","credit unions"
"AL.3","money stock securities and commodity market services"
"AL.31","stock market services"
"AL.32","money market services"
"AL.33","foreign exchange market services"
"AL.34","commodity market services"
"AL.35","securities market services"
"AL.5","insurance"
"AL.51","actuarial science"
"AL.6","investment management"
"AL.61","financial services act"
"AL.62","pension fund management"
"AL.63","financial consultancy practice"
"AL.64","property investment"
"AM.","CALL CENTRES"
"AM.1","call centre management"
"AM.2","call centre skills"
"AY.","OFFICE SKILLS / ADMINISTRATION"
"AY.4","office filing"
"AY.5","business documentation / record-keeping"
"AY.6","business correspondence (clerical work)"
"AY.7","reception / telephone switchboard work"
"AY.71","telephonists work"
"AY.72","reception (business)"
"AY.8","office technology skills"
"AY.83","fax / telex operation"
"AY.84","electronic mail (office use)"
"AY.85","office copying"
"AZ.","TYPEWRITING / SHORTHAND / SECRETARIAL SKILLS"
"AZ.1","secretarial skills"
"AZ.13","secretarial / linguist"
"AZ.131","secretarial / bilingual"
"AZ.2","secretarial skills: specific occupations"
"AZ.21","medical secretarial work"
"AZ.22","legal secretarial work"
"AZ.3","personal assistant skills"
"AZ.4","shorthand"
"AZ.41","shorthand: specific methods"
"AZ.411","Pitman shorthand"
"AZ.412","Speedwriting"
"AZ.413","Tee line shorthand"
"AZ.43","shorthand: languages other than English"
"AZ.5","typewriting / keyboarding"
"AZ.51","audiotyping"
"AZ.52","copy typing"
"AZ.53","shorthand typing"
"AZ.55","keyboarding"
"AZ.7","data input skills"
"B","SALES MARKETING and RETAILING"
"BA.","MARKETING / PR"
"BA.1","marketing"
"BA.12","marketing for non profit organisations"
"BA.13","international marketing"
"BA.14","marketing planning / evaluation"
"BA.2","product management"
"BA.21","product development / diversification (marketing)"
"BA.22","product research"
"BA.23","brand management"
"BA.24","pricing"
"BA.3","customer service"
"BA.31","customer complaints"
"BA.4","franchising"
"BA.5","market research"
"BA.51","consumer studies"
"BA.6","sales promotion"
"BA.61","merchandising"
"BA.7","publicity / public relations"
"BA.71","publicity"
"BA.72","advertising"
"BA.73","exhibitions (marketing)"
"BA.74","public relations"
"BA.76","media relations"
"BB.","EXPORT / IMPORT / EUROPEAN SALES"
"BB.1","European Union sales"
"BB.2","exporting"
"BB.21","export procedures"
"BB.22","export documentation"
"BB.221","letters of credit"
"BB.26","export sales"
"BB.3","importing"
"BB.31","customs procedures / documentation: importing"
"BC.","RETAILING / WHOLESALING / DISTRIBUTIVE TRADES"
"BC.1","distributive trades"
"BC.3","retailing"
"BC.32","retail buying"
"BC.34","retail sales management"
"BC.35","retail display design"
"BC.7","wholesaling"
"BC.8","consumer protection"
"BC.81","trading standards"
"BD.","RETAILING: SPECIFIC TYPES"
"BD.1","food retailing"
"BD.13","wine / spirits retailing"
"BD.16","meat retailing"
"BD.17","fish retailing"
"BD.3","motor trade operations (sales)"
"BD.33","vehicle parts / accessories (sales)"
"BD.4","fashion retailing"
"BE.","SALES WORK"
"BE.2","sales management"
"BE.21","field sales management"
"BE.3","sales techniques"
"BE.4","telesales"
"BF.","E-COMMERCE"
"BF.1","e-business"
"BF.2","e-marketing"
"BF.3","e-procurement"
"C","INFORMATION TECHNOLOGY and INFORMATION"
"CA.","INFORMATION AND COMMUNICATIONS TECHNOLOGY (GENERAL)"
